repo	entity_scope	true_name	call_sign	system_id	subtree_prefix	status	source_evidence
/home/architit/work/Archivator_Agent	repo_domain	UNRESOLVED_TRUE_NAME	Archivator_Agent	ARCHIVATOR_AGENT	ARCHIVATOR_AGENT/Archivator_Agent	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/Archivator_Agent/SubtreeHub	repo_domain	UNRESOLVED_TRUE_NAME	SubtreeHub	SUBTREEHUB	SUBTREEHUB/SubtreeHub	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/CORE	repo_domain	UNRESOLVED_TRUE_NAME	CORE	CORE	CORE/CORE	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/J.A.R.V.I.S	repo_domain	UNRESOLVED_TRUE_NAME	J.A.R.V.I.S	J_A_R_V_I_S	J_A_R_V_I_S/J.A.R.V.I.S	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/LAM	reference_contract	Loarachspoiszat	Larpat	LRPT	LRPT/Larpat	ACTIVE	NAMING_MODEL.md
/home/architit/work/LAM	reference_contract	Tendshpoisat	Taspit	TSPT	TSPT/Taspit	ACTIVE	NAMING_MODEL.md
/home/architit/work/LAM-Codex_Agent	repo_domain	UNRESOLVED_TRUE_NAME	LAM-Codex_Agent	LAM_CODEX_AGENT	LAM_CODEX_AGENT/LAM-Codex_Agent	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/LAM_Comunication_Agent	repo_domain	UNRESOLVED_TRUE_NAME	LAM_Comunication_Agent	LAM_COMUNICATION_AGENT	LAM_COMUNICATION_AGENT/LAM_Comunication_Agent	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/LAM_DATA_Src	repo_domain	UNRESOLVED_TRUE_NAME	LAM_DATA_Src	LAM_DATA_SRC	LAM_DATA_SRC/LAM_DATA_Src	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/LAM_Test_Agent	repo_domain	UNRESOLVED_TRUE_NAME	LAM_Test_Agent	LAM_TEST_AGENT	LAM_TEST_AGENT/LAM_Test_Agent	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/Operator_Agent	repo_domain	UNRESOLVED_TRUE_NAME	Operator_Agent	OPERATOR_AGENT	OPERATOR_AGENT/Operator_Agent	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/RADRILONIUMA-PROJECT	root_container	Loarachspoiszat	Larpat	LRPT	LRPT/Larpat	ACTIVE	NAMING_MODEL.md
/home/architit/work/RADRILONIUMA-PROJECT	task_domain_home	Tendshpoisat	Taspit	TSPT	TSPT/Taspit	ACTIVE	NAMING_MODEL.md
/home/architit/work/Roaudter-agent	repo_domain	UNRESOLVED_TRUE_NAME	Roaudter-agent	ROAUDTER_AGENT	ROAUDTER_AGENT/Roaudter-agent	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/System-	repo_domain	UNRESOLVED_TRUE_NAME	System-	SYSTEM_	SYSTEM_/System-	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/TRIANIUMA_DATA_BASE	repo_domain	UNRESOLVED_TRUE_NAME	TRIANIUMA_DATA_BASE	TRIANIUMA_DATA_BASE	TRIANIUMA_DATA_BASE/TRIANIUMA_DATA_BASE	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/Trianiuma	repo_domain	UNRESOLVED_TRUE_NAME	Trianiuma	TRIANIUMA	TRIANIUMA/Trianiuma	HOLD	PENDING_GOVERNANCE_MAPPING
/home/architit/work/Trianiuma_MEM_CORE	repo_domain	UNRESOLVED_TRUE_NAME	Trianiuma_MEM_CORE	TRIANIUMA_MEM_CORE	TRIANIUMA_MEM_CORE/Trianiuma_MEM_CORE	HOLD	PENDING_GOVERNANCE_MAPPING
